player_name,poss,mp,raptor_offense,raptor_defense,raptor_total
Wesley Matthews,1874,861,-2.391800969,-0.164835491,-2.55663646
Tyrese Maxey,4918,2439,2.48083749,-0.694180568,1.786656922
Skylar Mays,418,189,1.90053139,-4.581240701,-2.680709311
Miles McBride,1620,780,-2.275302017,1.899944274,-0.375357743
Mac McClung,92,41,2.936065527,2.103089843,5.03915537
CJ McCollum,5497,2649,1.297039172,-1.382761564,-0.085722392
T.J. McConnell,3305,1526,0.360477109,1.879385646,2.239862755
Jalen McDaniels,4282,2015,-1.37112649,0.480737264,-0.890389226
Jaden McDaniels,5094,2416,-0.950208552,1.252126227,0.301917675
Doug McDermott,2858,1314,-1.207624098,-4.163341491,-5.370965589
JaVale McGee,756,355,-5.139306205,-0.703698226,-5.843004431
Bryce McGowens,1689,787,-4.051857423,-0.955745529,-5.007602952
Rodney McGruder,1103,524,0.878736744,-0.355134797,0.523601948
Jordan McLaughlin,1534,692,-0.317531783,0.474078233,0.156546449
De'Anthony Melton,4918,2424,-0.116197439,1.323658805,1.207461366
Sam Merrill,121,59,-0.382556733,-1.343891417,-1.72644815
Chimezie Metu,1533,695,-1.749518748,1.183842265,-0.565676483
Khris Middleton,2129,974,2.564404358,0.025965598,2.590369956
Patty Mills,1232,572,-1.007770892,-3.427505184,-4.435276076
Shake Milton,3353,1588,-0.228346346,-1.817417648,-2.045763994
Justin Minaya,195,89,-6.784722153,-6.709400071,-13.49412222
Josh Minott,233,102,-0.494460802,0.550203389,0.055742587
Davion Mitchell,3388,1587,-2.154371258,2.374673835,0.220302577
Donovan Mitchell,5302,2639,5.843208568,-1.13402043,4.709188138
Evan Mobley,5852,2903,-1.617209501,1.619955897,0.002746396
Isaiah Mobley,171,84,-0.501836874,5.268922917,4.767086043
Chima Moneke,18,8,-17.3873197,-11.14810481,-28.53542451
Malik Monk,4157,1924,1.688518429,-1.188475409,0.50004302
Moses Moody,2112,978,-1.284683044,-1.298861656,-2.5835447
Xavier Moon,40,20,-3.375491215,2.86949417,-0.505997045
Wendell Moore Jr.,351,155,-4.668678911,-1.056558484,-5.725237395
Ja Morant,4560,2135,4.486401255,0.976244155,5.46264541
Markieff Morris,789,355,-4.235558923,-1.645486748,-5.881045671
Marcus Morris Sr.,3874,1893,-1.620310237,-1.399252863,-3.019563101
Monte Morris,3518,1695,1.93282315,-1.253202135,0.679621015
Trey Murphy III,5132,2448,1.357714783,0.361295999,1.719010783
Dejounte Murray,6111,2883,0.731419545,-1.08845433,-0.357034785
Jamal Murray,6004,2932,3.570284213,-0.232939075,3.337345138
Keegan Murray,5451,2576,-0.279267906,-1.013591327,-1.292859233
Mike Muscala,2098,966,1.146111464,-0.91637485,0.229736614
Svi Mykhailiuk,990,468,0.818653419,1.140581746,1.959235165
Larry Nance Jr.,2897,1381,-0.602505391,2.592999133,1.990493742
Andrew Nembhard,4439,2073,-1.550744257,-0.706277945,-2.257022202
Aaron Nesmith,3874,1816,-0.931381946,-1.418984488,-2.350366434
Raul Neto,1035,512,-0.080289773,0.606087782,0.52579801
Georges Niang,3475,1669,-0.707872322,-2.354069839,-3.061942161
Daishen Nix,1924,914,-4.629263014,-2.6753441,-7.304607114
Zeke Nnaji,1517,740,-3.707297176,0.178218617,-3.529078558
Nerlens Noel,428,195,-7.84410762,0.576150929,-7.267956692
Jaylen Nowell,2863,1314,-0.061856759,-2.371111496,-2.432968255
Frank Ntilikina,1286,607,-3.955745942,-0.324659845,-4.280405787
Kendrick Nunn,2090,964,-1.389522888,-2.382494965,-3.772017853
Jusuf Nurkic,2886,1391,-1.084826102,2.02261483,0.937788729
Jordan Nwora,2565,1188,-1.671749418,-3.22815626,-4.899905678
Chuma Okeke,1083,518,-2.870658091,-1.974475235,-4.845133326
Josh Okogie,3196,1525,-0.381368233,3.143219105,2.761850872
Onyeka Okongwu,4198,1980,-0.277684321,1.013610724,0.735926402
Isaac Okoro,3533,1727,-0.909994218,1.071369371,0.161375153
KZ Okpala,552,248,-3.893179224,4.817788666,0.924609442
Victor Oladipo,2355,1151,-1.734594111,1.023480069,-0.711114041
Kelly Olynyk,4082,1942,0.16771278,0.530815675,0.698528455
Eugene Omoruyi,1335,645,-1.644419511,1.166556283,-0.477863228
Royce O'Neale,5168,2527,-0.961454485,0.955198791,-0.006255694
Cedi Osman,3332,1641,0.155456357,0.586893835,0.742350192
Kelly Oubre Jr.,3287,1548,-0.159964524,0.312066101,0.152101577
Chris Paul,4358,2139,2.193948267,-0.272173299,1.921774968
Cameron Payne,2341,1120,0.533439767,-1.405848328,-0.872408562
Gary Payton II,1171,559,0.848042614,-1.523990242,-0.675947628
Theo Pinson,699,323,-0.806856017,-3.24512833,-4.051984347
Scotty Pippen Jr.,67,32,-3.581584484,5.141436977,1.559852493
Mason Plumlee,4561,2145,1.259837419,-0.751141447,0.508695973
Jakob Poeltl,3992,1906,0.498955366,0.261069099,0.760024465
Aleksej Pokusevski,1516,701,-2.452482752,0.007875942,-2.444606809
Jordan Poole,5955,2742,-1.394187954,-1.833064273,-3.227252226
Kevin Porter Jr.,4208,2024,1.802663211,-0.534645043,1.268018169
Michael Porter Jr.,5078,2452,1.649003056,-1.879240064,-0.230237009
Otto Porter Jr.,306,146,-1.952780961,-0.68906667,-2.641847631
Bobby Portis,4103,1925,-0.031508921,-0.909581007,-0.941089928
Kristaps Porzingis,4381,2120,3.143316461,1.674959472,4.818275933
Micah Potter,117,52,-0.432781352,3.481445113,3.048663761
Dwight Powell,2969,1458,-0.479172744,1.176472866,0.697300123
Norman Powell,3672,1734,0.080266704,-1.64317124,-1.562904535
Jason Preston,266,125,-0.257790181,-2.888640367,-3.146430548
Joshua Primo,207,93,-3.04022093,2.454671598,-0.585549331
Taurean Prince,2818,1292,-2.207442593,-1.004874636,-3.21231723
Payton Pritchard,1450,700,-0.723438281,-0.343455602,-1.066893883
Trevelin Queen,152,70,-5.017222675,-1.669216914,-6.686439589
Neemias Queta,70,29,-6.364733883,-3.341955892,-9.706689774
Immanuel Quickley,5134,2519,0.974506118,2.376847041,3.351353159
Lester Quinones,41,18,-7.936213148,6.4910223,-1.445190848
Julius Randle,6218,3067,2.029299273,-1.261216486,0.768082787
